claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
RAT-CLAIM-0001,RatHat,RAT,"Distributed via smishing, malvertising, phishing sites, third-party forums, malicious APK sideloading.",Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,delivery,,,,2026-09-19T18:00:00Z,true
RAT-CLAIM-0002,RatHat,RAT,"After Accessibility grant, automates Developer Options + Wireless Debugging; scrapes 6-digit pairing code and dynamic port; self-pairs via libadb-android.",Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,self-ADB|Accessibility,,,No external computer required.,2026-09-19T18:00:00Z,true
RAT-CLAIM-0003,RatHat,RAT,Three components: malicious APK; Go agent liblocal-service.so; FRP client libmedia_codec.so (frpc).,Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,architecture,,,,2026-09-19T18:00:00Z,true
RAT-CLAIM-0004,RatHat,RAT,Go agent staged to /data/local/tmp; local HTTP on 127.0.0.1:7910; FRP reverse tunnel for remote ADB/shell access.,Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,persistence|C2,,,,2026-09-19T18:00:00Z,true
RAT-CLAIM-0005,RatHat,RAT,APK uninstall != remediation: local-service outside package lifecycle can reinstall APK and re-enable Accessibility.,Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,persistence-taxonomy,,,Privileged-agent persistence.,2026-09-19T18:00:00Z,true
RAT-CLAIM-0006,RatHat,RAT,"AI subsystem serializes Accessibility tree to XML and queries generative AI for target coordinates, on-screen text, and navigation (e.g. SCROLL_DOWN).",Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,AI-UI,,,Investigate delegated vs deterministic logic; do not sensationalize.,2026-09-19T18:00:00Z,true
RAT-CLAIM-0007,RatHat,RAT,"Anti-analysis: ZIP tampering, ~61MB AndroidManifest with undocumented 0x9999 chunks, DEX poisoning, StringFog/StringCrypto, JDWP/ptrace/Frida/Xposed/root/emulator checks.",Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,anti-analysis,,,,2026-09-19T18:00:00Z,true
RAT-CLAIM-0008,RatHat,RAT,"Browser URL harvest resource IDs for Chrome, Brave, Opera, Opera Mini, Edge, DuckDuckGo, Samsung Internet, plus AOSP/ColorOS.",Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,browser-targets,,,,2026-09-19T18:00:00Z,true
RAT-CLAIM-0009,RatHat,RAT,Hardware-level touch capture via getevent on /dev/input/* from shell UID; coordinates + known keypad geometry enable PIN reconstruction.,Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,hardware-input,,,Distinct from Accessibility keylogging.,2026-09-19T18:00:00Z,true
RAT-CLAIM-0010,RatHat,RAT,"Credential channels include Accessibility text events, browser URL harvest, WebView overlays, SMS/notification OTP, MediaProjection, raw touch coordinates.",Zimperium,zLabs,RatHat: AI-Powered Mobile Threat is Here for Your Credentials & Bank Accounts,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-16,PRIMARY,PRIMARY_SOURCE,High,false,credential-theft,,,Multi-channel corroboration.,2026-09-19T18:00:00Z,true
