indicator_type,value,first_seen_utc,last_seen_utc,confidence,provenance,evidence_id,notes
md5,1ea83e4e4592b01e4acab63eb867bee5,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive Front-Technical-Challenge.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,cbaaf0900a13f28e380f49adecec932c,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive FrontEnd-Task.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,366515822d5ac1cc500711ef57a2e32e,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive Task-FullStack.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,cf449f1992c2819e62ac44a0b06ac2e7,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive fullstack-1536.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,e95a4366686e3f786ea3c056fab5b0da,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive webapp76592.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,de5af16a3757ef700b01dc34d67079ae,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive webapp76531.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,be086789568441d0d7e4679aee51f566,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive challenges-17831.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,e259c5edf158aac4cfe14f77ddd0b196,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive challenges-17832.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,291ac3abe73c5158e59a437b75d5f0aa,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive Project-1802.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,0962f56d7ec69f4f2a0162dcbe22116b,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,Archive Case-34234.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.
md5,795e053a990a1569ffdcb57f48f6d085,unspecified,2026-09-19T18:07:48Z,High,PRIMARY-SOURCE,,SUPERSEDED_CASE_TAG: RankChallenge-react ZIP is PollCat lure â€” authoritative row POL-IND-0001. Retained for cross-ref only; do not use as NodeRabbit IOC.
sha256,123289b3680c1d693db0e3702137cc55862dbe8b9a34376bcdf08bd0514b98e7,unspecified,2026-09-19T19:05:00Z,Moderate,PRIMARY-SOURCE,,PolySwarm-published NodeRabbit-associated sample. NOT confirmed MD5 map for Front-Technical-Challenge.zip.
sha256,307ce2448211a5f5d122643f2a739aff33ede72c1858518c8de098f3148bbd00,unspecified,2026-09-19T19:05:00Z,Moderate,PRIMARY-SOURCE,,PolySwarm-published NodeRabbit-associated sample. NOT confirmed MD5 map for Front-Technical-Challenge.zip.
