family,stage,component,trust_class,legitimate_purpose,abuse_method,vuln_vs_intended,privilege_boundary,why_detection_trusts_it,remaining_telemetry,blocking_realism,behavioral_detection_hook,uniqueness,seen_in_other_families_technique_only,evidence_ids_or_claims,comparison_confidence,notes
Rapuncel,delivery,GitHub org/Pages + SEO ranking,USER/BRAND TRUST,Host/distribute open-source software,"Fake brand orgs, fabricated badges, SEO",Intended platform features,User download decision,github.com reputation / HTTPS,Org verified badge; download referrer,Hard to block GitHub wholesale,Unverified org + Authenticator Windows lure,Common SEO/GitHub abuse class,BoryptGrab (comparator); not Settra/RatHat/NRB,RAP-CLAIM-0002|0003,High,Technique class only
Rapuncel,execution,vsdbg.exe (MS Visual Studio debugger),TRUSTED BINARY,Debug CoreCLR apps,DLL sideload vsdbg.dll,Intended load-adjacent-DLL behavior,User→process,Valid Microsoft Authenticode,Module load of unexpected DLL; parent/child,Allowlist apps not signatures,vsdbg outside Visual Studio install path,Specific LOLBIN choice,Sideload class common; this binary not transferred,RAP-CLAIM-0006,High,May be Cruciferra-supplied (RAP-H-CRY)
Rapuncel,defense-evasion,Alinubx.sys / CcProtect WHCP-signed,SIGNED DRIVER,Third-party protect driver (CnCrypt),Identity swap + kernel process kill,Abused capable signed driver (BYOVD-class),Kernel,WHCP signature; not on blocklist at pub,Driver load; NvFsFilter service; signer Henan Dafeng,HVCI/blocklist lag; hash rename defeats naive lists,Kernel process terminate of security products,145-name list + WHCP path,Settra operators use different BYOVD drivers (technique class),RAP-CLAIM-0007|0008,Moderate,signed≠malicious≠blocklisted
Rapuncel,crypter,Cruciferra PUROSANGUE/COCONUT,OPEN-SOURCE DUAL-USE,N/A — criminal crypting service,MaaS crypter wraps payloads,Commodity crimeware,Depends on build,May inherit sideloaded legit host EXE trust,Builder fingerprints; PUROSANGUE vs COCONUT artifacts,Target infrastructure/panels if known,File pumping + sideload + AV kill combo,Marketplace service,Unknown for other ETW families — do not invent,RAP-CLAIM-0011|0015|0016,Moderate,First-class ecosystem object
Settra,C2/persistence,MeshAgent RMM,RMM,IT remote management,Unauthorized deploy for hands-on access,Intended remote control,Admin equivalent,Signed/legitimate RMM binary,Unexpected MeshAgent; C2 IPs in cert/connections,Allowlist approved RMM only,New RMM in environment,Common ransomware precursor class,RMM abuse common; no cross-IOC,SET-CLAIM-0005,High,Operator activity matrix
Settra,defense-evasion,STProcessMonitor_v114.sys / gdrv.sys,SIGNED DRIVER,Vendor drivers with vulnerable primitives,BYOVD to blind EDR,Vulnerable signed drivers,Kernel,Valid signature until blocklisted,Driver install events,Microsoft vulnerable driver blocklist,Unexpected driver load pre-encryption,Driver choice differs by incident,BYOVD class also Rapuncel Alinubx — NOT same driver,SET-CLAIM-0006|0008,High,Technique comparison only
Settra,credential-access,Mimikatz / ProcDump,SECURITY/DEBUGGING FEATURE,Security research / dump debugging,LSASS credential theft,Intended tools misused,Admin,Sometimes allowlisted in IT,LSASS access,Credential Guard; block tools,LSASS handle access,Commodity,Common across ransomware ops,SET-CLAIM-0008,High,Never 'Settra uses Mimikatz'
RatHat,privilege,Accessibility Service,OS FEATURE,Assistive technology,UI automation for ADB enable + overlays,Intended powerful API,User-granted sensitive permission,User consent dialog,Accessibility enable events,User education; MTD,Accessibility + Developer Options toggles,Common Android malware class,ToxicPanda/RedHook same class,RAT-CLAIM-0002,High,Trust-surface theme
RatHat,privilege,Wireless ADB / adbd,DEVELOPER TOOL,App debugging without USB,Self-pair via Accessibility-scraped PIN,Intended debug feature,shell UID 2000,Local loopback / developer mode,Wireless debugging enable; pairing,Enterprise: restrict developer options,Accessibility→Wireless Debugging sequence,Emerging reusable pattern,ToxicPanda 2.0; RedHook — technique only,RAT-CLAIM-0002|0007,High,NOT shared authorship
RatHat,persistence-tunnel,frpc (fatedier/frp),OPEN-SOURCE DUAL-USE,Expose local services via reverse proxy,Masqueraded libmedia_codec.so tunnel to C2,Intended tool,Network egress,Known open-source binary patterns,frp config fetch; unexpected native lib names,Egress allowlists,frpc + ADB exposure,Common dual-use,Unknown in other ETW cases — no transfer,RAT-CLAIM-0001,Moderate,
NodeRabbit,delivery,Amazon S3 coding-challenge ZIP,CLOUD SERVICE,Object storage,Host trojanized assessment archives,Intended hosting,User download/run,AWS domain reputation,S3 bucket names; recruiter lure context,Hard to block S3 wholesale,Unexpected S3 + npm local import,Mirage Kitten historical cloud lure hosting,Cloud lure hosting common,NRB-CLAIM-0002,High,
NodeRabbit,execution,Local Node.js / node.exe,DEVELOPER TOOL,Run JS apps,Launch implant; clone to nodew.exe / IntelDSA.exe GUI subsystem,Intended runtime,User,Developer workstation normal,node launching from AppData cache paths,Low on developer endpoints,node + hidden cache implant paths,Targets developers specifically,Living-off-the-land interpreters common,NRB-CLAIM-0003,High,Developer beachhead theme
NodeRabbit,persistence,VS Code extension host + Git hooks,DEVELOPER TOOL,IDE extensions; VCS hooks,Fake Copilot Helper; post-merge launcher,Intended extensibility,User/dev context,Extensions/hooks expected on workstations,Unsigned extension; shepherd-persist marker,Extension allowlists; hook auditing,Untrusted publisher name borrow,VS Code + Git combo in V3,Not observed in RAP/SET/RAT — no transfer,NRB-CLAIM-0004|0005,High,Local hooks ≠ supply chain
NodeRabbit,C2,Azure Websites / Cloudflare domains,CLOUD SERVICE,App hosting / CDN,Blend C2 into enterprise-allowed cloud,Intended hosting,Network,Corporate allowlists for Azure,Unusual azurewebsites paths; beacon timing,Difficult; need behavioral,/api/rabbit/* or /sdk/v2/* patterns,Kaspersky notes Azure+CF hallmark,Cloud C2 blend common,NRB-CLAIM-0003|0006,Moderate,agent:servers reduces static IOC life
