family,technique_id,technique_name,tactic,documented_behavior,confidence,platform,source_note,package_status,matrix,mapped_utc
rapuncel,T1189,Drive-by Compromise,Initial Access,SEO-oriented fraudulent GitHub/Pages lures directing users to stealer downloads,High,Windows,PRIMARY LastPass/Delphos,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1204.002,User Execution: Malicious File,Execution,Victim runs delivered installer/payload from GitHub SEO lure chain,High,Windows,PRIMARY,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1574.002,Hijack Execution Flow: DLL Side-Loading,Defense Evasion/Execution,Legitimate Microsoft vsdbg.exe loads malicious vsdbg.dll,High,Windows,PRIMARY,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1027,Obfuscated Files or Information,Defense Evasion,Cruciferra/PUROSANGUE-class crypter/loader context (tooling; not Rapuncel authorship),Moderate,Windows,PRIMARY lineage note,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1068,Exploitation for Privilege Escalation,Privilege Escalation,Alinubx.sys / CcProtect-class BYOVD-style signed-driver abuse assessed in primary lineage analysis,Moderate,Windows,PRIMARY / LOLDrivers companion,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion,Kernel process terminate of security products via abused signed driver path,Moderate,Windows,PRIMARY,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,Credential Access,Browser credential theft as stealer capability (wording per primary),High,Windows,PRIMARY,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1041,Exfiltration Over C2 Channel,Exfiltration,Published exfil/C2 destinations including 2.26.126.50 in PRIMARY indicators,High,Windows,PRIMARY,ACTIVE,enterprise,2026-09-20T16:03:04Z
rapuncel,T1071.001,Application Layer Protocol: Web Protocols,Command and Control,HTTPS/web C2 and delivery domains published by researchers,High,Windows,PRIMARY,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1497,Virtualization/Sandbox Evasion,Defense Evasion,Debugger checks; inert exit without --pass (encryptor),High,Windows,Cynet malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1027,Obfuscated Files or Information,Defense Evasion,~1.4MB encrypted blob; AES-256-CTR after iterated SHA-256,High,Windows,Cynet malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1055,Process Injection,Defense Evasion,Process hollowing of inner encryptor (reported),Moderate,Windows,Cynet malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1486,Data Encrypted for Impact,Impact,Per-file keys + 4096-bit RSA wrap; .locked extensions,High,Windows,Cynet/Huntress malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1490,Inhibit System Recovery,Impact,reagentc/diskpart/cipher; WinRE/VSS/System Restore interference,High,Windows,Cynet/Huntress malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1489,Service Stop,Impact,Hyper-V VM power-off / recovery inhibition patterns,High,Windows,Cynet malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1070.001,Indicator Removal: Clear Windows Event Logs,Defense Evasion,Clears multiple event logs,High,Windows,Cynet malware,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1078,Valid Accounts,Initial Access/Persistence,Compromised VPN / valid credentials (operator IR),High,Windows,MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1046,Network Service Discovery,Discovery,NetExec / Netscan mapping,High,Windows,MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1003,OS Credential Dumping,Credential Access,Procdump / Mimikatz observed in IR (operator tooling — not Settra.exe),High,Windows,MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1021,Remote Services,Lateral Movement,PAExec / NetExec lateral movement,High,Windows,MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1219,Remote Access Software,Command and Control,MeshAgent RMM abuse (45.13.122.7 / 193.5.65.114),High,Windows,Huntress/MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1562,Impair Defenses,Defense Evasion,edr_blind; BYOVD drivers (gdrv.sys / STProcessMonitor) in operator stage,High,Windows,Huntress/MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
settra,T1657,Financial Theft,Impact,Tor leak site + Tox negotiations (extortion workflow),Moderate,Network,MOXFIVE operator,ACTIVE,enterprise,2026-09-20T16:03:04Z
rathat,T1626.001,Abuse Elevation Control Mechanism: Device Administrator/Accessibility,Privilege Escalation,Accessibility service (SystemHelperService) abused to control device settings,High,Android,PRIMARY,ACTIVE,mobile,2026-09-20T16:03:04Z
rathat,T1516,Input Injection,Execution,Accessibility-driven UI automation to enable Wireless Debugging and pair,High,Android,PRIMARY,ACTIVE,mobile,2026-09-20T16:03:04Z
rathat,T1424,Software Discovery / Debug Abuse,Discovery/Execution,Wireless ADB self-pair using scraped PIN; shell UID via adbd,High,Android,PRIMARY — map as ADB abuse,ACTIVE,mobile,2026-09-20T16:03:04Z
