claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
SYN-CLAIM-0001,SynkLoader,SYN,"Expel documents SynkLoader as a modular loader with mixed-language, memory-resident components delivered via Microsoft Teams phishing posing as IT helpdesk.",Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08,PRIMARY,PRIMARY_SOURCE,High,false,delivery|loader,,,,Thin seed; deepen after HTML freeze.,2026-09-19T20:00:00Z,true
SYN-CLAIM-0002,SynkLoader,SYN,"Expel reports a fake Windows lock-screen credential-theft component and network tunneling enabling access via the infected host.",Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08,PRIMARY,PRIMARY_SOURCE,High,false,credential-theft|tunneling,,,,,2026-09-19T20:00:00Z,true
SYN-CLAIM-0003,SynkLoader,SYN,"Expel associates compile dates / file timestamps with first compilation and distribution around late July 2026.",Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08,PRIMARY,PRIMARY_SOURCE,High,false,timeline,,,,Vendor-reported timestamps; not ETW OBSERVED.,2026-09-19T20:00:00Z,true
SYN-CLAIM-0004,SynkLoader,SYN,Initial delivery uses Microsoft Teams chat from an external *.onmicrosoft.com tenant posing as IT Service Desk; victim is directed to Azure Blob MSI https://filereserve.blob.core.windows.net/vgnghuyk/331/331.msi branded PowershellCleaner.,Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08-20,PRIMARY,PRIMARY_SOURCE,High,false,Teams-phishing|Azure-Blob|MSI,PS-SYN-001,SYN-CLAIM-0001,Exact display name partially redacted in article (IT Service Desk).,2026-09-19T19:05:00Z,true
SYN-CLAIM-0005,SynkLoader,SYN,Stage chain: MSI extracts archive6.zip + cleaner.ps1 under %LocalAppData%\PowershellCleaner\script; nested PowerShell AES-CBC + ScriptBlock::Create executes in memory; extracts Python runtime to %AppData%\<16-char>\fl\ang\ and launches pythonw.exe ss.py.,Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08-20,PRIMARY,PRIMARY_SOURCE,High,false,loader-chain|PowerShell|Python,PS-SYN-001,SYN-CLAIM-0001,Victim ID = 16-char install directory name.,2026-09-19T19:05:00Z,true
SYN-CLAIM-0006,SynkLoader,SYN,"Loader C2 chooses among neversoftmain.net, rootfarmapp.net, tripinupdate.net with URL https://<domain>/<token>/<victim_id>/; beacons every 90–120s; payloads use modified ChaCha20 with SIGMA_128=mlswgtppayebtezk and SIGMA_256=lwifnrfiosmfrubf keyed by victim ID.",Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08-20,PRIMARY,PRIMARY_SOURCE,High,false,C2|ChaCha20,PS-SYN-001,SYN-CLAIM-0001,token_1 not fully published as fixed string in article.,2026-09-19T19:05:00Z,true
SYN-CLAIM-0007,SynkLoader,SYN,"PhishLocker fake lock-screen DLL reads username via GetUserName, loads wallpaper from C:\Windows\Web\Screen, renders fullscreen borderless Win11-style UI; does not validate password via Windows Auth; Alt+Tab still surfaces task switcher though malware re-focuses; bypass by typing any password.",Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08-20,PRIMARY,PRIMARY_SOURCE,High,false,PhishLocker|fake-lockscreen,PS-SYN-001,SYN-CLAIM-0002,Expel states prior local malware use of this technique not found before 2026-08-18 investigation.,2026-09-19T19:05:00Z,true
SYN-CLAIM-0008,SynkLoader,SYN,"Modules include system profiler (msvcp150.dll C# RunPowerShell/RunPowerShellW), persistence via msvcp160.dll manual mapper + COM Task Scheduler (CLSID_TaskScheduler) creating random 12-char tasks (logon + daily 10:00), TrafficRedirector backconnect proxy (C2 dondermicapp.net), interactive PowerShell RAT, and StreamMaster VNC (C2 aroclenetapp.net; not HVNC).",Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08-20,PRIMARY,PRIMARY_SOURCE,High,false,modules|TrafficRedirector|StreamMaster|persistence,PS-SYN-001,SYN-CLAIM-0001,PDB paths reveal developer username genry (pwshnewdll / schdtaks_atlg_dll).,2026-09-19T19:05:00Z,true
SYN-CLAIM-0009,SynkLoader,SYN,Expel assesses with low-medium confidence that toolkit may belong to a ransomware group or initial access broker based on AD_counter profiling metric; not a named attribution.,Expel,,SynkLoader: when you throw in everything but the kitchen sink,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,2026-08-20,PRIMARY,PRIMARY_SOURCE,Low,false,attribution-hypothesis,PS-SYN-001,,Keep as Expel hypothesis only; secondary Dark Reading ransomware-herald framing must not be promoted.,2026-09-19T19:05:00Z,true
SYN-CLAIM-0010,SynkLoader,SYN,"ETW passively observed urlscan public results for SynkLoader C2 apex domains including neversoftmain.net→149.248.76.220 AS399629, rootfarmapp.net→162.33.177.8 AS399629, tripinupdate.net→216.245.184.14 AS399629, aroclenetapp.net→64.94.85.67 AS399629; Azure MSI path scanned with HTTP 200 historically.",ETW,passive,urlscan.io SynkLoader domain search,https://urlscan.io/search/#domain:neversoftmain.net,2026-09-19,PASSIVE,OBSERVED_PASSIVE,Moderate,true,urlscan|C2-hosting|AS399629,,SYN-CLAIM-0006,Shared ASN AS399629 (BL Networks) across multiple C2s is INFRASTRUCTURE_OVERLAP candidate only — not ownership.,2026-09-19T19:05:00Z,true
SYN-CLAIM-0011,SynkLoader,SYN,"RDAP registrations (decoded from passive retrieval): neversoftmain/rootfarmapp/tripinupdate.net on 2026-07-02; dondermicapp.net 2026-06-29; aroclenetapp.net 2026-07-29; all Cloudflare nameservers. CT certificates observed for neversoftmain (4), rootfarmapp (7), tripinupdate (5), dondermicapp (4).",ETW,passive,RDAP + crt.sh SynkLoader,https://rdap.org/domain/neversoftmain.net,2026-09-19,PASSIVE,OBSERVED_PASSIVE,High,true,RDAP|CT,,SYN-CLAIM-0006,Registration timing aligns with Expel late-July compile window; not attribution.,2026-09-19T19:05:00Z,true
