family,ip,role,provenance,relationship_type,confidence,source_url_or_raw_ref,notes,author_attribution
Rapuncel,2.26.126.50,exfil,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,LastPass/Delphos: Rapuncel stealer /upload exfil over HTTP-shaped raw TCP. RDAP: US-ACEDATACENTER block (evidence/passive-observations/rdap/rapuncel/rdap_ip_2.26.126.50_2026-09-19T190009Z.json). Prefer this over Cloudflare edges.,NOT_ESTABLISHED
Rapuncel,104.21.27.38,cdn_edge,PRIMARY-SOURCE,ASSOCIATION_ONLY,Low,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Vendor Cloudflare-fronted mapping for albinofennel.com. Shared CDN edge — do not promote as actor-owned.,NOT_ESTABLISHED
Rapuncel,172.67.168.224,cdn_edge,PRIMARY-SOURCE,ASSOCIATION_ONLY,Low,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Vendor Cloudflare-fronted mapping for albinofennel.com. Low specificity.,NOT_ESTABLISHED
Rapuncel,172.67.212.253,cdn_edge,PRIMARY-SOURCE,ASSOCIATION_ONLY,Low,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Vendor Cloudflare-fronted mapping for istatlmenus.com.,NOT_ESTABLISHED
Rapuncel,104.21.20.224,cdn_edge,PRIMARY-SOURCE,ASSOCIATION_ONLY,Low,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Vendor Cloudflare-fronted mapping for macperformancetools.com. Also OBSERVED_PASSIVE in evidence/passive-observations/dns/rapuncel/dns_resolve_2026-09-19T185304Z.json.,NOT_ESTABLISHED
Rapuncel,104.21.18.89,cdn_edge,PRIMARY-SOURCE,ASSOCIATION_ONLY,Low,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Vendor Cloudflare-fronted mapping for zaffersnouty.com.,NOT_ESTABLISHED
Rapuncel,172.67.194.182,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/rapuncel/dns_resolve_2026-09-19T185304Z.json,A for macperformancetools.com (CF). Demoted.,NOT_ESTABLISHED
Rapuncel,104.21.25.5,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/rapuncel/dns_resolve_2026-09-19T185304Z.json,A for hanselarinmusky.com (CF). Demoted.,NOT_ESTABLISHED
Rapuncel,172.67.221.134,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/rapuncel/dns_resolve_2026-09-19T185304Z.json,A for hanselarinmusky.com (CF). Demoted.,NOT_ESTABLISHED
Rapuncel,104.21.85.249,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/rapuncel/dns_resolve_2026-09-19T185304Z.json,A for istatlmenus.com (CF). Demoted.,NOT_ESTABLISHED
Rapuncel,172.67.181.133,cdn_edge,OBSERVED_PASSIVE,ASSOCIATION_ONLY,Low,evidence/passive-observations/dns/rapuncel/dns_resolve_2026-09-19T185304Z.json,A for zaffersnouty.com (CF). Demoted.,NOT_ESTABLISHED
Rapuncel,207.207.210.50,unknown,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,Moderate,evidence/passive-observations/dns/rapuncel/dns_resolve_ryanpresbrey.cc_2026-09-19T190009Z.json,A for ryanpresbrey.cc (LastPass clustering lead domain — Moderate PRIMARY domain confidence). Non-CDN. RDAP netname PL-1287. Same IP family as other ryanpresbrey.cc A records. Not proof of malware authorship.,NOT_ESTABLISHED
Rapuncel,207.207.210.23,unknown,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,Moderate,evidence/passive-observations/dns/rapuncel/dns_resolve_ryanpresbrey.cc_2026-09-19T190009Z.json,A for ryanpresbrey.cc clustering lead. Non-CDN. Not author identity.,NOT_ESTABLISHED
Rapuncel,207.207.210.36,unknown,OBSERVED_PASSIVE,INFRASTRUCTURE_OVERLAP,Moderate,evidence/passive-observations/dns/rapuncel/dns_resolve_ryanpresbrey.cc_2026-09-19T190009Z.json,A for ryanpresbrey.cc clustering lead. Non-CDN. Not author identity.,NOT_ESTABLISHED
Settra,45.13.122.7,meshagent,PRIMARY-SOURCE,PRIMARY-SOURCE,High,https://www.huntress.com/blog/new-settra-ransomware-variant,Huntress July 2026 MeshAgent C2 (mvtcs.exe) in Settra IR. Incident-scoped — not global Settra C2. RDAP: SD-WAN / IT allocation (evidence/passive-observations/rdap/settra/rdap_ip_45.13.122.7_2026-09-19T190009Z.json). RDAP contacts are hosting/admin — not malware author.,NOT_ESTABLISHED
