family,variant,artifact_type,artifact,platform,purpose,observed_or_inferred,source,evidence_id,confidence,capability_class,notes
NodeRabbit,V1,persistence_path,~/.config/microsoft-edge-update/msedge_update.js,Linux,Masquerade as Microsoft Edge Update implant copy,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0012,High,persistence_artifact,PRIMARY Securelist table — Linux row V1
NodeRabbit,V1,persistence_mechanism,@reboot cron → current Node.js executable + msedge_update.js,Linux,Reboot survival,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0012,High,persistence_artifact|observed_linux_execution,
NodeRabbit,V1,windows_contrast,%APPDATA%\Microsoft\EdgeUpdate\msedge_update.js + Run key + nodew.exe,Windows,Same masquerade theme different OS mechanism,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0005,High,cross_platform_compatible,Not Linux — listed for contrast only
NodeRabbit,V2,persistence_path,~/.config/intel-dsa/idriver_support.js,Linux,Masquerade as Intel DSA,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0013,High,persistence_artifact,
NodeRabbit,V2,persistence_mechanism,@reboot cron,Linux,Reboot survival,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0013,High,persistence_artifact|observed_linux_execution,
NodeRabbit,V2,windows_contrast,%LOCALAPPDATA%\Intel\DSA\idriver_support.js + IntelDSA.exe + task IntelDriverSupportUpdate,Windows,Same DSA theme,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0006,High,cross_platform_compatible,Contrast only
NodeRabbit,V3,persistence_path,~/.local/share/<copied payload>,Linux,User-local staging directory,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0014,High,persistence_artifact,Exact filename not fixed in primary excerpt
NodeRabbit,V3,persistence_mechanism,@reboot cron; if crontab -l fails skip persistence,Linux,Conditional cron persistence,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0014,High,persistence_artifact|observed_linux_execution,Failure mode is evidentially important
NodeRabbit,V3,persistence_bridge,Windows user profile launcher.vbs,WSL/Windows,Script bridge into WSL,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0015,High,persistence_artifact,
NodeRabbit,V3,persistence_bridge,Daily 10AM scheduled task → wscript.exe → wsl.exe → Linux payload,WSL/Windows,Windows scheduler relaunches Linux implant,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0015,High,observed_linux_execution|persistence_artifact,Uses Linux payload already staged under ~/.local/share
NodeRabbit,All,identity,Agent ID = first 32 hex of SHA-256(hostname+username+OS version+architecture+MAC),Win/Linux/macOS,Stable per-host agent identity,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0016,High,runtime_api_equivalent,NOT a literal whoami shell command
NodeRabbit,All,c2_command,sys:info,Win/Linux/macOS,Return hostname domain-user username PID,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0017,High,runtime_api_equivalent,Account discovery semantic equivalent
NodeRabbit,All,c2_command,net:config,Win/Linux/macOS,Enumerate adapters MAC IP DNS,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0018,High,runtime_api_equivalent,
NodeRabbit,All,c2_command,proc:start,Win/Linux/macOS,Execute arbitrary shell command,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0019,High,c2_arbitrary_exec,Operator MAY invoke whoami; implant does not hardcode it
NodeRabbit,V3,c2_command,agent:servers → .sv.json,Win/Linux/macOS,Replace C2 list and persist,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0007,High,c2_durability,Static domain IOCs short half-life
NodeRabbit,V2/V3,enterprise,HTTP(S) env WinINET PAC WinHTTP CONNECT Basic curl --proxy-anyauth NTLM/Negotiate,Primarily Windows enterprise path documented,Corporate proxy traversal,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0006,High,cross_platform_compatible,Motivates enterprise-developer hypothesis; Linux proxy detail thinner in primary
NodeRabbit,V3,git_marker,# shepherd-persist; in .git/hooks/post-merge and post-checkout,Win/Linux/macOS (local hooks),Local Git persistence marker,observed,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,NRB-CLAIM-0009,High,persistence_artifact,PRIMARY Kaspersky; community KQL/GitHub = SECONDARY detection only — catalog separately
NodeRabbit,negative,literal_whoami,whoami,Linux shell,N/A — no literal match in primary,observed_absence,SEARCH-NRB-LINUX-001,SEARCH-NRB-LINUX-001,High,negative_literal,Do not require whoami to justify Linux track
