evidence_id,date_collected,time_collected_utc,collector,evidence_type,indicator_type,value,description,source,source_url,source_author,publication_date,retrieval_date,provenance,confidence,first_seen,last_seen,independently_verified,verification_method,related_evidence,notes
RAP-EV-0001,2026-09-19,17:45:00Z,ETW-Phase1,publication,title,One Kit Forty Companies,Primary joint report title attributed to LastPass TIME / Delphos Labs,DEV Community relay / Clarity,https://dev.to/anoymask/rapuncel-fake-github-repositories-disable-edr-with-a-signed-kernel-driver-1nl8,LastPass TIME / Delphos Labs (attributed),2026-09-17,2026-09-19,PRIMARY-SOURCE,High,2026-09-17,2026-09-17,False,title citation only; full primary document not retrieved,,Full primary URL still sought
RAP-EV-0002,2026-09-19,17:46:00Z,ETW-Phase1,secondary_article,,,BleepingComputer summary of Rapuncel campaign,BleepingComputer,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,Bill Toulas,2026-09-18,2026-09-19,SECONDARY,High,2026-09-18,2026-09-18,False,n/a,,Relays LastPass/Delphos; includes exfil IP
RAP-EV-0003,2026-09-19,17:47:00Z,ETW-Phase1,claim,technique,DLL sideloading,Reported: renamed vsdbg.exe loads malicious vsdbg.dll,BleepingComputer citing researchers,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,LastPass/Delphos via BC,2026-09-18,2026-09-19,SECONDARY,High,,,False,not independently executed,,Do not treat as OBSERVED
RAP-EV-0004,2026-09-19,17:47:00Z,ETW-Phase1,claim,driver,Alinubx.sys,Reported Microsoft-signed driver disguised as nvfsflt64.sys / NvFsFilter; 145 AV/EDR process names,BleepingComputer; TechTimes,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,LastPass/Delphos via secondary,2026-09-18,2026-09-19,SECONDARY,High,,,False,n/a,,BYOVD/CcProtect lineage detailed in TechTimes
RAP-EV-0005,2026-09-19,17:48:00Z,ETW-Phase1,indicator,ip,2.26.126.50,Reported exfiltration endpoint; HTTP format over raw TCP,BleepingComputer,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,LastPass/Delphos via BC,2026-09-18,2026-09-19,SECONDARY,Moderate,,,False,passive DNS pending,,Not automatically CONFIRMED MALICIOUS by ETW
RAP-EV-0006,2026-09-19,17:48:00Z,ETW-Phase1,indicator,domain,albinofennel.com,Reported primary payload/lure server hosting multi-brand impersonation kit,TechTimes citing joint report,https://www.techtimes.com/articles/327744/20260919/rapuncel-infostealer-killed-145-security-tools-before-stealing-browser-wallet-credentials.htm,TechTimes,2026-09-19,2026-09-19,SECONDARY,Moderate,,,False,passive DNS pending,,RESOLVING != MALICIOUS
RAP-EV-0007,2026-09-19,17:49:00Z,ETW-Phase1,indicator,github_org,LastPass-Authenticator,Reported fraudulent GitHub organization,CyberInsider,https://cyberinsider.com/fake-lastpass-downloads-on-github-pushed-password-stealing-malware/,Bill Mann citing LastPass,2026-09-18,2026-09-19,SECONDARY,High,2026-08-13,,False,GitHub status check pending,,Do not circumvent takedowns
RAP-EV-0008,2026-09-19,17:49:00Z,ETW-Phase1,claim,collection,browsers_wallets,Reported targets: 25+ browsers; 30 wallets; Discord/Steam/Telegram; CredMan; docs; screenshots,BleepingComputer; IBT,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,LastPass/Delphos via secondary,2026-09-18,2026-09-19,SECONDARY,Moderate,,,False,n/a,,
RAP-EV-0009,2026-09-19,17:50:00Z,ETW-Phase1,claim,browser,app-bound encryption,Reported helper DLL injection + Elevation Service interaction for Chrome/Edge,BleepingComputer,https://www.bleepingcomputer.com/news/security/fake-lastpass-authenticator-github-repos-push-new-rapuncel-infostealer/,LastPass/Delphos via BC,2026-09-18,2026-09-19,SECONDARY,Moderate,,,False,n/a,,Avoid absolute 'bypass' wording without primary confirmation
RAP-EV-0010,2026-09-19,17:50:00Z,ETW-Phase1,hash_seed,sha256,ea8c31a86fa785ab514022c278a2f6e571c86aac9283745a96605c44d88382d6,Seeded as vsdbg.dll/loader — original source NOT located in Phase 1 open web search,ETW intake list,internal-seed,ETW,2026-09-19,2026-09-19,UNVERIFIED,Low,,,False,source tracing failed,,Do not label independently confirmed
