claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
SET-CLAIM-0001,Settra,SET,Settra outer executable contains ~1.4 MB encrypted blob; without correct --pass the loader exits (may look inert to sandboxes).,Cynet,CyOps Research Labs,Inside Cynet's Settra Ransomware Investigation,https://www.cynet.com/blog/inside-cynets-settra-ransomware-investigation/,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,encryptor|anti-analysis,,,,2026-09-19T18:00:00Z,true
SET-CLAIM-0002,Settra,SET,"Operator --pass derives key via ~200,000 SHA-256 iterations then AES-256-CTR decrypt; LP77 header validated; inner ransomware decompressed in memory.",Cynet,CyOps,Inside Cynet's Settra Ransomware Investigation,https://www.cynet.com/blog/inside-cynets-settra-ransomware-investigation/,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,encryptor|password-gate,,,"Password unlocks ransomware payload, not victim files.",2026-09-19T18:00:00Z,true
SET-CLAIM-0003,Settra,SET,Per-file symmetric keys wrapped with embedded 4096-bit RSA public key; private key never on victim; no C2 for keys during encryption.,Cynet,CyOps,Inside Cynet's Settra Ransomware Investigation,https://www.cynet.com/blog/inside-cynets-settra-ransomware-investigation/,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,encryptor|crypto,,,Offline encryption.,2026-09-19T18:00:00Z,true
SET-CLAIM-0004,Settra,SET,Reverse engineering found no file-exfiltration capability inside the encryptor (no WinHTTP/WinINet upload stack).,Cynet,CyOps,Inside Cynet's Settra Ransomware Investigation,https://www.cynet.com/blog/inside-cynets-settra-ransomware-investigation/,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,encryptor|no-exfil,,,Exfil is separate intrusion phase if it occurs.,2026-09-19T18:00:00Z,true
SET-CLAIM-0005,Settra,SET,"Inner encryptor powers down Hyper-V VMs, disables WinRE/System Restore, shrinks VSS, clears logs/Prefetch/USN, uses Restart Manager.",Cynet,CyOps,Inside Cynet's Settra Ransomware Investigation,https://www.cynet.com/blog/inside-cynets-settra-ransomware-investigation/,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,encryptor|recovery-destruction,,,,2026-09-19T18:00:00Z,true
SET-CLAIM-0006,Settra,SET,Debugger detection and normal-looking exit codes can cause sandboxes to conclude nothing interesting happened.,Cynet,CyOps,Inside Cynet's Settra Ransomware Investigation,https://www.cynet.com/blog/inside-cynets-settra-ransomware-investigation/,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,encryptor|anti-analysis,,,,2026-09-19T18:00:00Z,true
SET-CLAIM-0007,Settra,SET,July incident: MeshAgent renamed mvtcs.exe to 45.13.122.7; ransomware from C:\Perflogs; .locked; RESTORE_FILES.txt.,Huntress,,"Ready, Settra, Go: New Settra Ransomware Variant Deploys MeshAgent RMM",https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,operator|IR|MeshAgent,,,Operator TTP not Settra.exe capability.,2026-09-19T18:00:00Z,true
SET-CLAIM-0008,Settra,SET,September incident: MeshAgent to 193.5.65.114; ransomware from Documents; .locked_wip; gdrv.sys BYOVD signals.,Huntress,,"Ready, Settra, Go: New Settra Ransomware Variant Deploys MeshAgent RMM",https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,operator|IR|MeshAgent,,,,2026-09-19T18:00:00Z,true
SET-CLAIM-0009,Settra,SET,Embedded clear of Microsoft-Windows-Defender/Operational fails due to typo; correct is Microsoft-Windows-Windows-Defender/Operational.,Huntress,,"Ready, Settra, Go: New Settra Ransomware Variant Deploys MeshAgent RMM",https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,operator|anti-forensics,,,Defender artifact for defenders.,2026-09-19T18:00:00Z,true
SET-CLAIM-0010,Settra,SET,WIN-LIVFRVQFMKO associated with September Settra activity and prior Huntress incidents back to 2024-12-24; also linked to 193.5.65.114 since ~2025-11.,Huntress,,"Ready, Settra, Go: New Settra Ransomware Variant Deploys MeshAgent RMM",https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-17,PRIMARY,PRIMARY_SOURCE,Moderate,false,operator|WIN-LIVFRVQFMKO,,,Clustering signal; not attribution. Hostname also appears in unrelated historical campaigns (Sophos).,2026-09-19T18:00:00Z,true
