claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
SHO-CLAIM-0001,Showboat,SHO,"Lumen Black Lotus Labs documents Showboat as a modular Linux post-exploitation framework used in campaigns targeting telecommunications organizations.",Lumen Black Lotus Labs,,Introducing Showboat: A new malware family taunts defenses and targets international telecom firms,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026,PRIMARY,PRIMARY_SOURCE,High,false,platform|victimology,,,,Thin seed; deepen after HTML freeze.,2026-09-19T20:00:00Z,true
SHO-CLAIM-0002,Showboat,SHO,"Lumen reports technical artifacts suggesting Showboat-related campaign activity since at least mid-2022, despite 2026 public disclosure.",Lumen Black Lotus Labs,,Introducing Showboat: A new malware family taunts defenses and targets international telecom firms,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026,PRIMARY,PRIMARY_SOURCE,High,false,timeline,,,,Historical activity vs disclosure date is an explicit intelligence gap.,2026-09-19T20:00:00Z,true
SHO-CLAIM-0003,Showboat,SHO,"Lumen describes Showboat capabilities including remote shell, file transfer, and SOCKS5 / proxy-style network functions on Linux hosts.",Lumen Black Lotus Labs,,Introducing Showboat: A new malware family taunts defenses and targets international telecom firms,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-05-21,PRIMARY,PRIMARY_SOURCE,High,false,capabilities,,,,PRIMARY-SOURCE capability list only.,2026-09-19T20:00:00Z,true
SHO-CLAIM-0004,Showboat,SHO,"Showboat XOR-decrypts C2 config with hardcoded key look me AV; default SERVER_ADDRESS telecom.webredirect.org resolving to 139.84.227.139; beacons host telemetry inside PNG fields.",Lumen Black Lotus Labs,,Introducing Showboat: A new malware family taunts defenses and targets international telecom firms,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-05-21,PRIMARY,PRIMARY_SOURCE,High,false,c2|config,,,,2026-09-19T19:05:00Z,true
SHO-CLAIM-0005,Showboat,SHO,"Hide functionality retrieves attacker Pastebin code first posted January 2022 (THN: January 11 2022) supporting activity since at least mid-2022 / early 2022 tooling prep.",Lumen Black Lotus Labs; The Hacker News,,Introducing Showboat / THN coverage,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-05-21,PRIMARY,PRIMARY_SOURCE,High,false,timeline|hide,,,,THN date is SECONDARY corroboration of Pastebin metadata.,2026-09-19T19:05:00Z,true
SHO-CLAIM-0006,Showboat,SHO,"Black Lotus Labs IOC appendix publishes Linux SHA-256 d6a4fad5...7011 and two Windows SHA-256s plus infra first-seen as early as 2023-04-04 (103.10.145.129 hosting ukpkmkk.bin).",Lumen Black Lotus Labs,,Showboat_IOCs.txt,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,2026,PRIMARY,PRIMARY_SOURCE,High,false,hashes|historical-infra,,,,Companion primary to blog.,2026-09-19T19:05:00Z,true
SHO-CLAIM-0007,Showboat,SHO,"Lumen assesses Showboat used by at least one and likely several PRC-aligned clusters; primary cluster telecom impersonation SE/Central Asia; Chengdu-adjacent upstream hypothesis 116.169.244.208.",Lumen Black Lotus Labs,,Introducing Showboat: A new malware family taunts defenses and targets international telecom firms,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-05-21,PRIMARY,PRIMARY_SOURCE,Moderate,false,attribution,,,,Vendor assessment — not ETW-established.,2026-09-19T19:05:00Z,true
SHO-CLAIM-0008,Showboat,SHO,"THN reports Kaspersky tracks the ELF as EvaRAT and links Afghanistan telecom activity to Calypso with companion Windows JFMBackdoor.",The Hacker News,,Showboat Linux Malware Hits Middle East Telecom with SOCKS5 Proxy Backdoor,https://thehackernews.com/2026/05/showboat-linux-malware-hits-middle-east.html,2026-05,SECONDARY,SECONDARY,Low,false,alias|calypso,,,,SECONDARY; do not elevate to ETW attribution.,2026-09-19T19:05:00Z,true
SHO-CLAIM-0009,Showboat,SHO,"Picus Security (SECONDARY to Lumen) reports Showboat hide command fetches C source ukpkmkk.c from attacker Pastebin, compiles to ukpkmkk.so, and appends path to /etc/ld.so.preload.",Picus Security,,Showboat Malware: Targeting Middle East Telecom Firms Since 2022,https://www.picussecurity.com/resource/blog/showboat-malware-targeting-middle-east-telecom-firms-since-2022,2026-06-17,SECONDARY,SECONDARY,Moderate,false,hide|pastebin|ld.so.preload,,SHO-CLAIM-0005,Corroborates Lumen Pastebin dead-drop class with specific filenames.,2026-09-19T19:10:00Z,true
SHO-CLAIM-0010,Showboat,SHO,"Picus reports Pastebin-sourced hide library includes hardcoded process filter string kworkers|dbus|autoupdate used to conceal processes from ps/top via readdir hooks.",Picus Security,,Showboat Malware: Targeting Middle East Telecom Firms Since 2022,https://www.picussecurity.com/resource/blog/showboat-malware-targeting-middle-east-telecom-firms-since-2022,2026-06-17,SECONDARY,SECONDARY,Moderate,false,hide|process-filter,,SHO-CLAIM-0009,SECONDARY string detail - prefer ETW paste retrieval for OBSERVED_PASSIVE.,2026-09-19T19:10:00Z,true

