claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
POL-CLAIM-0001,PollCat,POL,"PollCat was discovered by Kaspersky during the same Mirage Kitten investigation that disclosed NodeRabbit (Securelist 2026-09-01) and is described as a previously undocumented malware family.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,co-disclosure,,,,Co-disclosure ≠ shared authorship.,2026-09-19T20:00:00Z,true
POL-CLAIM-0002,PollCat,POL,"PollCat is a cross-platform remote access trojan written in obfuscated JavaScript.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,implant-class,,,,,2026-09-19T20:00:00Z,true
POL-CLAIM-0003,PollCat,POL,"PollCat is distributed through trojanized coding-challenge archives in the same recruiter/coding-challenge delivery ecosystem described for NodeRabbit.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,delivery,,,,COMMON TECHNIQUE / shared delivery class — not automatic IOC transfer.,2026-09-19T20:00:00Z,true
POL-CLAIM-0004,PollCat,POL,"The analyzed PollCat sample resides inside RankChallenge-react, a React code-fixing challenge presented as a time-limited developer assessment.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,delivery|lure,,,,,2026-09-19T20:00:00Z,true
POL-CLAIM-0005,PollCat,POL,"Kaspersky states PollCat has a substantially different structure from NodeRabbit despite co-disclosure.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,structure-divergence,,,,Supports non-equivalence default pending lineage evidence.,2026-09-19T20:00:00Z,true
POL-CLAIM-0006,PollCat,POL,"PollCat starts independently of OTP authentication: app.js → requireAuth.js → requireObjects.js begins C2 registration/polling before the user enters an access code.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,execution,,,,,2026-09-19T20:00:00Z,true
POL-CLAIM-0007,PollCat,POL,"Kaspersky documents cross-platform persistence for PollCat (Windows NetSync scheduled task; Linux cron; macOS LaunchAgent under com.harsh.requireobject.plist).",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,persistence,,,,PRIMARY-SOURCE description only; not OBSERVED by ETW.,2026-09-19T20:00:00Z,true
POL-CLAIM-0008,PollCat,POL,"Kaspersky frames NodeRabbit and PollCat as the first publicly documented Node.js-/JavaScript-based malware used by Mirage Kitten (vs prior native C/C++/Go tooling).",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,attribution|tooling-shift,,,,Report as Kaspersky assessment — not independently established by ETW.,2026-09-19T20:00:00Z,true
POL-CLAIM-0009,PollCat,POL,"PollCat C2 registration uses POST /beacon and treats HTTP 400 with socketId/pollInterval/jitterTime as success; subsequent ops use /gate/hello /gate/fetch /gate/submit /vault/* /gate/track.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,c2-protocol,,,,Distinct from NodeRabbit AES-GCM C2.,2026-09-19T19:05:00Z,true
POL-CLAIM-0010,PollCat,POL,"PollCat host identifier format is 129--<hostname>; default poll 120s with up to 5s jitter; declares 22 commands including EVAL_JS and SYSTEM_CHECK; WS_DOWNLOAD REQUEST_ELEVATION PERSIST unimplemented.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,commands|identity,,,,,2026-09-19T19:05:00Z,true
POL-CLAIM-0011,PollCat,POL,"Kaspersky documents structural C2 handshake command-ID and beacon-timing overlap between PollCat and Retrograde/MiniFast (not NodeRabbit).",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,lineage-minifast,,,,Supports non-equivalence vs NodeRabbit implant lineage.,2026-09-19T19:05:00Z,true
POL-CLAIM-0012,PollCat,POL,"OTP codes for RankChallenge-react are validated at lifespotify.com OTP validate path; domain registered late June 2026 per Kaspersky.",Kaspersky,GReAT,"Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set",https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,otp|lure,,,,,2026-09-19T19:05:00Z,true
