claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
NRB-CLAIM-0001,NodeRabbit,NRB,NodeRabbit is a cross-platform Node.js RAT (Windows/Linux/macOS) delivered via trojanized coding-challenge archives from fake recruiters on LinkedIn/job platforms.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,delivery|developer-targeting,,,,2026-09-19T18:00:00Z,true
NRB-CLAIM-0002,NodeRabbit,NRB,Front-Technical-Challenge.zip MD5 1EA83E4E4592B01E4ACAB63EB867BEE5 hosted on oracle-challenge.s3.us-east-1.amazonaws.com; README says server.js is bug-free and forbids AI assistants.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,social-engineering,,,,2026-09-19T18:00:00Z,true
NRB-CLAIM-0003,NodeRabbit,NRB,"Trojanized local npm packages colorized_terminal and pretty-log v2.1.0 (bundled in node_modules, not npm registry) launch implant from node_modules/.cache/.320697f1/index.js.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,npm-abuse,,,,2026-09-19T18:00:00Z,true
NRB-CLAIM-0004,NodeRabbit,NRB,"Three related variants found in Afghanistan, Egypt, Ethiopia with shared code lineage and progressive capability growth.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,evolution,,,,2026-09-19T18:00:00Z,true
NRB-CLAIM-0005,NodeRabbit,NRB,V1: 11 commands; AES-256-GCM C2; Azure endpoints plugplay/Rgbteller/Wslwebui; single-instance bind 127.0.0.1:48739.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,evolution|V1,,,,2026-09-19T18:00:00Z,true
NRB-CLAIM-0006,NodeRabbit,NRB,"V2: sandbox/analyst checks; corporate proxy discovery (env, Internet Settings, PAC, HTTP CONNECT, Basic, curl --proxy-anyauth NTLM/Negotiate).",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,evolution|V2|enterprise,,,Enterprise developer environment hypothesis.,2026-09-19T18:00:00Z,true
NRB-CLAIM-0007,NodeRabbit,NRB,"V3: 23 commands including agent:servers (replace C2 list, persist .sv.json); Outlook artifact discovery; persist:vscode; persist:project:inject Git hooks.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,evolution|V3,,,Static IOC durability limited.,2026-09-19T18:00:00Z,true
NRB-CLAIM-0008,NodeRabbit,NRB,persist:vscode creates fake extension displayed as GitHub Copilot Helper; borrows publisher metadata without acquiring trusted signature/status; may interfere with Workspace Trust.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,VS-Code|detection,,,Signature inconsistency detection opportunity.,2026-09-19T18:00:00Z,true
NRB-CLAIM-0009,NodeRabbit,NRB,Git persistence modifies .git/hooks/post-merge and post-checkout with # shepherd-persist marker; hooks are normally local and not committed â€” do not call supply-chain without evidence.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,Git-hooks,,,"Local persistence, not demonstrated propagation.",2026-09-19T18:00:00Z,true
NRB-CLAIM-0010,NodeRabbit,NRB,Kaspersky attributes activity to Mirage Kitten (aliases UNC1549/Smoke Sandstorm/Nimbus Manticore appear in industry tracking) targeting aviation/FinTech MEA.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,Moderate,false,attribution,,,Kaspersky assessment â€” not independently established by ETW. Report as Kaspersky's attribution.,2026-09-19T18:00:00Z,true
NRB-CLAIM-0011,NodeRabbit,NRB,Kaspersky detects as Trojan.JS.MirageKitten.*; first documented Node.js/JS malware for this cluster vs prior native DLL/Go tooling.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,Moderate,false,attribution|tooling-shift,,,,2026-09-19T18:00:00Z,true
NRB-CLAIM-0012,NodeRabbit,NRB,Variant 1 Linux persistence: copies implant to ~/.config/microsoft-edge-update/msedge_update.js and creates an @reboot cron entry invoking it with the current Node.js executable.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,linux|persistence|V1,,,SEARCH-NRB-LINUX-002; observed Linux execution.,2026-09-19T20:00:00Z,true
NRB-CLAIM-0013,NodeRabbit,NRB,Variant 2 Linux persistence: copies implant to ~/.config/intel-dsa/idriver_support.js and creates an @reboot cron entry.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,linux|persistence|V2,,,Intel DSA masquerade on Linux.,2026-09-19T20:00:00Z,true
NRB-CLAIM-0014,NodeRabbit,NRB,"Variant 3 Linux persistence: copies payload under ~/.local/share, attempts @reboot cron, starts copied payload; if crontab -l fails, persistence is skipped.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,linux|persistence|V3,,,Conditional cron failure mode is primary-documented.,2026-09-19T20:00:00Z,true
NRB-CLAIM-0015,NodeRabbit,NRB,Variant 3 WSL persistence: uses Linux-staged payload; writes launcher.vbs under Windows user profile; creates daily 10AM Windows task that relaunches via wscript.exe and wsl.exe.,Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,WSL|persistence|V3,,,Windows scheduler bridge into Linux payload.,2026-09-19T20:00:00Z,true
NRB-CLAIM-0016,NodeRabbit,NRB,"Agent identifier is derived as SHA-256 of hostname, username, OS version, architecture, and MAC address, truncated to the first 32 hexadecimal characters â€” account/host binding without a literal whoami command.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,account-discovery|runtime-api,,,Semantic host identity; SEARCH-NRB-LINUX-001.,2026-09-19T20:00:00Z,true
NRB-CLAIM-0017,NodeRabbit,NRB,"C2 command sys:info returns hostname, domain user information, username, and process ID.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,account-discovery|sys:info,,,Runtime/API equivalent of account discovery.,2026-09-19T20:00:00Z,true
NRB-CLAIM-0018,NodeRabbit,NRB,"C2 command net:config enumerates adapters, MAC addresses, IP addresses, and DNS settings.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,net:config|discovery,,,,2026-09-19T20:00:00Z,true
NRB-CLAIM-0019,NodeRabbit,NRB,"C2 command proc:start executes an arbitrary shell command on the infected host (Win/Linux/macOS), enabling operator-driven discovery including optional whoami.",Kaspersky,GReAT,Mirage Kitten targeting aviation and FinTech sectors across the Middle East and Africa with a new malware set,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-01,PRIMARY,PRIMARY_SOURCE,High,false,proc:start|c2-arbitrary-exec,,,Do not equate capability with observed whoami usage.,2026-09-19T20:00:00Z,true
