claim_id,family,case_id,claim,source_organization,source_team,source_title,source_url,published,source_type,status,confidence,independently_verified,evidence_tags,related_evidence_ids,derives_from,notes,retrieval_date_utc,cutoff_applies
RAP-CLAIM-0001,Rapuncel,RAP,LastPass TIME discovered fraudulent GitHub org github.com/LastPass-Authenticator on 2026-08-13 that redirected to attacker infrastructure serving an installer.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,distribution|GitHub/SEO,SOURCE-RAP-001,,Baseline discovery date.,2026-09-19T18:00:00Z,true
RAP-CLAIM-0002,Rapuncel,RAP,Campaign impersonates at least 40 companies via SEO-optimized fraudulent GitHub organizations/repositories.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,distribution|GitHub/SEO|MaaS,SOURCE-RAP-001,,LastPass lure is one of many.,2026-09-19T18:00:00Z,true
RAP-CLAIM-0003,Rapuncel,RAP,"Fake GitHub Pages portal displays fabricated trust signals including Authorized Access, VirusTotal Approved, and Secure Archive badges.",LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,distribution|brand-trust,SOURCE-RAP-001,,,2026-09-19T18:00:00Z,true
RAP-CLAIM-0004,Rapuncel,RAP,Hidden redirect chain uses edgarcostartqd.github.io and dallikilic54.github.io via custom 404.html JavaScript waypoints.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,infrastructure|GitHub Pages,SOURCE-RAP-001,,,2026-09-19T18:00:00Z,true
RAP-CLAIM-0005,Rapuncel,RAP,Cloudflare-fronted istatlmenus.com acts as dynamic traffic director via /mandua.wonted; content changed between 2026-08-27 and 2026-09-10.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,infrastructure,SOURCE-RAP-001,,Runtime destination fetch.,2026-09-19T18:00:00Z,true
RAP-CLAIM-0006,Rapuncel,RAP,Terminal domains macperformancetools.com and zaffersnouty.com were parked/redirecting at analysis time; both Cloudflare-fronted.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,infrastructure,SOURCE-RAP-001,,RESOLVING/parked != serving malware.,2026-09-19T18:00:00Z,true
RAP-CLAIM-0007,Rapuncel,RAP,Payload servers include albinofennel.com and hanselarinmusky.com; albinofennel served 40+ branded lure pages.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,infrastructure|MaaS,SOURCE-RAP-001,,,2026-09-19T18:00:00Z,true
RAP-CLAIM-0008,Rapuncel,RAP,Observed ZIPs ~127.9–148 MB with junk TitanStorage.dll and ProManager.dll for scanner size-limit evasion.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,evasion|distribution,SOURCE-RAP-001,,,2026-09-19T18:00:00Z,true
RAP-CLAIM-0009,Rapuncel,RAP,Installer is renamed Microsoft vsdbg.exe that DLL-sideloads malicious vsdbg.dll from the same folder.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,execution|DLL-sideload|trust-surface,SOURCE-RAP-001,,,2026-09-19T18:00:00Z,true
RAP-CLAIM-0010,Rapuncel,RAP,vsdbg.dll SHA-256 ea8c31a86fa785ab514022c278a2f6e571c86aac9283745a96605c44d88382d6 is the NativeAOT loader.,LastPass,TIME + Delphos Labs,"Threat Intel | One Kit, Forty Companies: How a Malware-as-a-Service Platform Used GitHub as a Distribution Network for its Campaign",https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-17,PRIMARY,PRIMARY_SOURCE,High,false,ioc|loader,SOURCE-RAP-001,,Upgrades prior UNVERIFIED seed.,2026-09-19T18:00:00Z,true
